as_of,asset_id,signal,value,available_at
2024-01-02T07:00:00Z,A,value_signal,1,2024-01-02T06:59:00Z
2024-01-02T07:00:00Z,B,value_signal,2,2024-01-02T06:59:00Z
2024-01-02T07:00:00Z,C,value_signal,3,2024-01-02T06:59:00Z
2024-01-02T07:00:00Z,D,value_signal,4,2024-01-02T06:59:00Z
2024-01-02T07:00:00Z,E,value_signal,5,2024-01-02T06:59:00Z
2024-01-02T07:00:00Z,F,value_signal,6,2024-01-02T06:59:00Z
2024-01-03T07:00:00Z,A,value_signal,1,2024-01-03T06:59:00Z
2024-01-03T07:00:00Z,B,value_signal,2,2024-01-03T06:59:00Z
2024-01-03T07:00:00Z,C,value_signal,3,2024-01-03T06:59:00Z
2024-01-03T07:00:00Z,D,value_signal,4,2024-01-03T06:59:00Z
2024-01-03T07:00:00Z,E,value_signal,5,2024-01-03T06:59:00Z
2024-01-03T07:00:00Z,F,value_signal,6,2024-01-03T06:59:00Z
2024-01-04T07:00:00Z,A,value_signal,1,2024-01-04T06:59:00Z
2024-01-04T07:00:00Z,B,value_signal,2,2024-01-04T06:59:00Z
2024-01-04T07:00:00Z,C,value_signal,3,2024-01-04T06:59:00Z
2024-01-04T07:00:00Z,D,value_signal,4,2024-01-04T06:59:00Z
2024-01-04T07:00:00Z,E,value_signal,5,2024-01-04T06:59:00Z
2024-01-04T07:00:00Z,F,value_signal,6,2024-01-04T06:59:00Z
