decision_at,execution_at,return_start,return_end,asset_id,label,return_value,return_type,return_basis,corporate_action_policy,currency
2024-01-02T07:00:00Z,2024-01-03T01:30:00Z,2024-01-03T01:30:00Z,2024-01-03T07:00:00Z,A,next_close,0.01,simple,gross,price_return,CNY
2024-01-02T07:00:00Z,2024-01-03T01:30:00Z,2024-01-03T01:30:00Z,2024-01-03T07:00:00Z,B,next_close,0.02,simple,gross,price_return,CNY
2024-01-02T07:00:00Z,2024-01-03T01:30:00Z,2024-01-03T01:30:00Z,2024-01-03T07:00:00Z,C,next_close,0.03,simple,gross,price_return,CNY
2024-01-02T07:00:00Z,2024-01-03T01:30:00Z,2024-01-03T01:30:00Z,2024-01-03T07:00:00Z,D,next_close,0.04,simple,gross,price_return,CNY
2024-01-02T07:00:00Z,2024-01-03T01:30:00Z,2024-01-03T01:30:00Z,2024-01-03T07:00:00Z,E,next_close,0.05,simple,gross,price_return,CNY
2024-01-02T07:00:00Z,2024-01-03T01:30:00Z,2024-01-03T01:30:00Z,2024-01-03T07:00:00Z,F,next_close,0.06,simple,gross,price_return,CNY
2024-01-03T07:00:00Z,2024-01-04T01:30:00Z,2024-01-04T01:30:00Z,2024-01-04T07:00:00Z,A,next_close,0.01,simple,gross,price_return,CNY
2024-01-03T07:00:00Z,2024-01-04T01:30:00Z,2024-01-04T01:30:00Z,2024-01-04T07:00:00Z,B,next_close,0.02,simple,gross,price_return,CNY
2024-01-03T07:00:00Z,2024-01-04T01:30:00Z,2024-01-04T01:30:00Z,2024-01-04T07:00:00Z,C,next_close,0.03,simple,gross,price_return,CNY
2024-01-03T07:00:00Z,2024-01-04T01:30:00Z,2024-01-04T01:30:00Z,2024-01-04T07:00:00Z,D,next_close,0.04,simple,gross,price_return,CNY
2024-01-03T07:00:00Z,2024-01-04T01:30:00Z,2024-01-04T01:30:00Z,2024-01-04T07:00:00Z,E,next_close,0.05,simple,gross,price_return,CNY
2024-01-03T07:00:00Z,2024-01-04T01:30:00Z,2024-01-04T01:30:00Z,2024-01-04T07:00:00Z,F,next_close,0.06,simple,gross,price_return,CNY
2024-01-04T07:00:00Z,2024-01-05T01:30:00Z,2024-01-05T01:30:00Z,2024-01-05T07:00:00Z,A,next_close,0.01,simple,gross,price_return,CNY
2024-01-04T07:00:00Z,2024-01-05T01:30:00Z,2024-01-05T01:30:00Z,2024-01-05T07:00:00Z,B,next_close,0.02,simple,gross,price_return,CNY
2024-01-04T07:00:00Z,2024-01-05T01:30:00Z,2024-01-05T01:30:00Z,2024-01-05T07:00:00Z,C,next_close,0.03,simple,gross,price_return,CNY
2024-01-04T07:00:00Z,2024-01-05T01:30:00Z,2024-01-05T01:30:00Z,2024-01-05T07:00:00Z,D,next_close,0.04,simple,gross,price_return,CNY
2024-01-04T07:00:00Z,2024-01-05T01:30:00Z,2024-01-05T01:30:00Z,2024-01-05T07:00:00Z,E,next_close,0.05,simple,gross,price_return,CNY
2024-01-04T07:00:00Z,2024-01-05T01:30:00Z,2024-01-05T01:30:00Z,2024-01-05T07:00:00Z,F,next_close,0.06,simple,gross,price_return,CNY
