y_true,score
0,0.5331
1,0.3643
1,0.0398
0,0.7083
1,0.4284
0,0.4375
1,0.8155
1,0.7427
0,0.0832
1,0.8638
1,0.6181
1,0.4299
1,0.5171
1,0.111
0,0.3478
1,0.3514
1,0.5272
0,0.3857
0,0.6133
0,0.6329
1,0.6455
0,0.0379
1,0.7128
1,0.5963
1,0.8695
0,0.5284
0,0.372
1,0.5142
1,0.9133
0,0.0869
1,0.6357
1,0.5937
0,0.5887
0,0.2997
1,0.3483
0,0.58
0,0.7111
0,0.0
1,0.4425
1,0.7503
0,0.0917
1,0.5925
0,0.1318
0,0.0269
0,0.3312
0,0.3203
0,0.3641
1,0.7042
1,1.0
1,0.7816
0,0.2208
1,0.6897
0,0.6999
1,0.7717
0,0.4691
1,0.4726
0,0.357
0,0.6037
1,0.403
1,0.4194
0,0.2751
1,0.3557
1,0.4488
0,0.5827
1,0.6655
1,0.7874
0,0.1977
1,0.3351
1,0.5614
0,0.628
1,0.1296
0,0.5574
1,0.844
0,0.4213
0,0.5772
1,0.3493
0,0.128
0,0.3319
0,0.257
1,0.5466
1,0.4119
0,0.3301
1,0.7589
0,0.0786
1,0.8426
1,0.6284
1,0.8006
1,0.1107
0,0.7455
1,0.5864
0,0.4154
1,0.6239
1,0.4054
1,0.8187
0,0.2486
0,0.3446
0,0.3991
1,0.7947
0,0.0466
1,0.7231
0,0.5264
0,0.8063
0,0.7868
1,0.6886
1,0.808
0,0.3013
0,0.052
1,0.7155
1,0.5233
1,0.502
0,0.2306
0,0.7494
0,0.3077
1,0.7342
1,0.8811
1,0.7573
0,0.4697
0,0.4617
0,0.2182
0,0.2914
1,0.3221
1,0.6535
0,0.2991
1,0.7019
1,0.5755
0,0.2005
0,0.5736
1,0.4681
0,0.3657
1,0.8533
1,0.6848
0,0.4775
1,0.5833
0,0.8684
0,0.3268
0,0.4693
0,0.5454
0,0.5291
0,0.2811
1,0.6526
0,0.0692
1,0.591
0,0.1367
0,0.6386
1,0.5805
1,0.8264
0,0.3203
0,0.6532
0,0.8106
0,0.3128
0,0.2238
0,0.3469
1,0.5496
0,0.2603
1,0.6331
0,0.4131
1,0.1762
0,0.3601
1,0.7224
1,0.3408
1,0.7612
1,0.9902
1,0.6851
1,0.5444
0,0.5408
0,0.6643
1,0.9031
1,0.61
1,0.7637
1,0.5648
1,0.6632
0,0.3704
1,0.5737
0,0.3072
1,0.6999
0,0.3597
0,0.3822
1,0.2469
1,0.4973
1,0.6499
0,0.7632
0,0.6236
0,0.0704
0,0.0071
0,0.4414
0,0.4595
1,0.9212
1,0.3313
0,0.254
0,0.7168
0,0.4217
1,0.6337
0,0.1375
1,0.8091
0,0.137
0,0.157
0,0.9668
0,0.2877
0,0.3636
0,0.1088
