加载 OCR 引擎...
总页数: 393, 已完成: 0
[1/393] 第1页 2.0s chars=163 ETA=15.0min
[2/393] 第2页 2.7s chars=496 ETA=17.4min
[3/393] 第3页 1.1s chars=68 ETA=14.1min
[4/393] 第4页 3.0s chars=1210 ETA=15.7min
[5/393] 第5页 2.5s chars=436 ETA=15.8min
[6/393] 第6页 3.5s chars=887 ETA=17.1min
[7/393] 第7页 3.3s chars=784 ETA=17.7min
[8/393] 第8页 2.9s chars=713 ETA=17.9min
[9/393] 第9页 3.0s chars=729 ETA=18.1min
[10/393] 第10页 2.1s chars=550 ETA=17.6min
[11/393] 第11页 2.3s chars=813 ETA=17.4min
[12/393] 第12页 2.3s chars=827 ETA=17.2min
[13/393] 第13页 2.3s chars=801 ETA=17.0min
[14/393] 第14页 2.2s chars=715 ETA=16.8min
[15/393] 第15页 2.2s chars=575 ETA=16.6min
[16/393] 第16页 1.6s chars=208 ETA=16.2min
[17/393] 第17页 3.3s chars=862 ETA=16.4min
[18/393] 第18页 2.7s chars=886 ETA=16.5min
[19/393] 第19页 2.3s chars=771 ETA=16.3min
[20/393] 第20页 2.4s chars=730 ETA=16.2min
[21/393] 第21页 2.3s chars=627 ETA=16.1min
[22/393] 第22页 1.0s chars=64 ETA=15.7min
[23/393] 第23页 1.2s chars=3 ETA=15.3min
[24/393] 第24页 3.8s chars=789 ETA=15.6min
[25/393] 第25页 3.9s chars=1113 ETA=15.9min
[26/393] 第26页 3.9s chars=1147 ETA=16.2min
[27/393] 第27页 3.1s chars=676 ETA=16.3min
[28/393] 第28页 3.1s chars=933 ETA=16.4min
[29/393] 第29页 4.2s chars=1325 ETA=16.7min
[30/393] 第30页 3.3s chars=1232 ETA=16.8min
[31/393] 第31页 3.0s chars=648 ETA=16.8min
[32/393] 第32页 2.8s chars=841 ETA=16.8min
[33/393] 第33页 1.4s chars=70 ETA=16.5min
[34/393] 第34页 2.0s chars=125 ETA=16.3min
[35/393] 第35页 1.4s chars=89 ETA=16.1min
[36/393] 第36页 2.4s chars=257 ETA=16.0min
[37/393] 第37页 2.3s chars=536 ETA=15.9min
[38/393] 第38页 2.7s chars=738 ETA=15.9min
[39/393] 第39页 2.5s chars=579 ETA=15.9min
[40/393] 第40页 3.8s chars=1147 ETA=16.0min
[41/393] 第41页 2.5s chars=711 ETA=16.0min
[42/393] 第42页 1.9s chars=191 ETA=15.8min
[43/393] 第43页 1.7s chars=107 ETA=15.7min
[44/393] 第44页 3.3s chars=887 ETA=15.7min
[45/393] 第45页 3.6s chars=1150 ETA=15.8min
[46/393] 第46页 3.4s chars=935 ETA=15.9min
[47/393] 第47页 1.0s chars=57 ETA=15.6min
[48/393] 第48页 1.3s chars=62 ETA=15.5min
[49/393] 第49页 4.2s chars=1165 ETA=15.6min
[50/393] 第50页 3.6s chars=858 ETA=15.7min
[51/393] 第51页 1.2s chars=39 ETA=15.5min
[52/393] 第52页 2.3s chars=258 ETA=15.4min
[53/393] 第53页 2.0s chars=184 ETA=15.3min
[54/393] 第54页 1.1s chars=54 ETA=15.1min
[55/393] 第55页 2.3s chars=329 ETA=15.1min
[56/393] 第56页 3.3s chars=1092 ETA=15.1min
[57/393] 第57页 1.0s chars=63 ETA=14.9min
[58/393] 第58页 1.5s chars=54 ETA=14.8min
[59/393] 第59页 1.5s chars=73 ETA=14.6min
[60/393] 第60页 4.1s chars=917 ETA=14.7min
[61/393] 第61页 2.6s chars=510 ETA=14.7min
[62/393] 第62页 2.3s chars=387 ETA=14.6min
[63/393] 第63页 2.2s chars=367 ETA=14.6min
[64/393] 第64页 2.3s chars=450 ETA=14.5min
[65/393] 第65页 2.5s chars=462 ETA=14.5min
[66/393] 第66页 2.1s chars=309 ETA=14.4min
[67/393] 第67页 2.3s chars=471 ETA=14.3min
[68/393] 第68页 2.4s chars=469 ETA=14.3min
[69/393] 第69页 2.3s chars=431 ETA=14.2min
[70/393] 第70页 2.1s chars=311 ETA=14.1min
[71/393] 第71页 2.0s chars=203 ETA=14.1min
[72/393] 第72页 2.6s chars=590 ETA=14.0min
[73/393] 第73页 3.0s chars=781 ETA=14.0min
[74/393] 第74页 2.0s chars=213 ETA=13.9min
[75/393] 第75页 1.3s chars=101 ETA=13.8min
[76/393] 第76页 1.6s chars=79 ETA=13.7min
[77/393] 第77页 1.5s chars=91 ETA=13.6min
[78/393] 第78页 1.5s chars=90 ETA=13.5min
[79/393] 第79页 1.5s chars=81 ETA=13.4min
[80/393] 第80页 1.6s chars=78 ETA=13.3min
[81/393] 第81页 1.4s chars=81 ETA=13.2min
[82/393] 第82页 1.7s chars=93 ETA=13.1min
[83/393] 第83页 1.5s chars=111 ETA=13.0min
[84/393] 第84页 2.4s chars=390 ETA=13.0min
[85/393] 第85页 1.4s chars=56 ETA=12.9min
[86/393] 第86页 1.3s chars=88 ETA=12.8min
[87/393] 第87页 1.6s chars=88 ETA=12.7min
[88/393] 第88页 2.1s chars=93 ETA=12.7min
[89/393] 第89页 1.2s chars=88 ETA=12.6min
[90/393] 第90页 1.9s chars=100 ETA=12.5min
[91/393] 第91页 3.4s chars=1021 ETA=12.5min
[92/393] 第92页 1.4s chars=95 ETA=12.4min
[93/393] 第93页 1.7s chars=151 ETA=12.4min
[94/393] 第94页 1.7s chars=158 ETA=12.3min
[95/393] 第95页 1.6s chars=99 ETA=12.2min
